module_id,module_name,program_name,lecturer_id,room_id
M00076,Mobile Application Development ,level 8 Higher Diploma in Computing,L016,Room 109
M00077,Computer Networks and Communication,level 8 Higher Diploma in Computing,L017,Room 110
M00078,Operating Systems Design and Implementation,level 8 Higher Diploma in Computing,L018,Room 101
M00079,Advanced Algorithms and Data Structures,level 8 Higher Diploma in Computing,L019,Room 102
M00080,Software Testing and Quality Assurance ,level 8 Higher Diploma in Computing,L020,Room 103
M00081,Ethical and Legal Issues in Computing,level 8 Higher Diploma in Computing,L021,Room 104
M00082,Capstone Project in Computing,level 8 Higher Diploma in Computing,L022,Room 105
M00083,Foundations of Data Analytics,MSc in Data Analytics,L023,Room 106
M00084,Statistical Methods for Data Analysis,MSc in Data Analytics,L024,Room 107
M00085,Machine Learning and Predictive Modeling,MSc in Data Analytics,L025,Room 108
M00086,Data Mining Techniques,MSc in Data Analytics,L026,Room 109
M00087,Big Data Technologies and Platforms,MSc in Data Analytics,L027,Room 110
M00088,Data Visualization and Exploration,MSc in Data Analytics,L028,Room 101
M00089,Advanced Data Analytics Algorithms,MSc in Data Analytics,L029,Room 102
M00090,Text Analytics and Natural Language Processing ,MSc in Data Analytics,L030,Room 103
M00091,Time Series Analysis and Forecasting ,MSc in Data Analytics,L001,Room 104
M00092,Web Analytics and Social Media Analytics,MSc in Data Analytics,L002,Room 105
M00093,Data Privacy and Ethics,MSc in Data Analytics,L003,Room 106
M00094,Cloud Computing for Data Analytics,MSc in Data Analytics,L004,Room 107
M00095,Optimization and Decision Analytics ,MSc in Data Analytics,L005,Room 108
M00096,Capstone Project in Data Analytics  ,MSc in Data Analytics,L006,Room 109
M00097,Elective Modules,MSc in Data Analytics,L007,Room 110
M00098,Advanced Algorithms and Data Structures ,Level 8 Computer Science,L008,Room 101
M00099,Distributed Systems and Cloud Computing ,Level 8 Computer Science,L009,Room 102
M00100,Artificial Intelligence and Machine Learning  ,Level 8 Computer Science,L010,Room 103
M00101,Advanced Programming Paradigms ,Level 8 Computer Science,L011,Room 104
M00102,High-Performance Computing,Level 8 Computer Science,L012,Room 105
M00103,Computer Graphics and Visualization,Level 8 Computer Science,L013,Room 106
M00104,Cybersecurity and Information Assurance ,Level 8 Computer Science,L014,Room 107
M00105,Natural Language Processing ,Level 8 Computer Science,L015,Room 108
M00106,Quantum Computing,Level 8 Computer Science,L016,Room 109
M00107,Bioinformatics and Computational Biology,Level 8 Computer Science,L017,Room 110
M00108,Robotics and Autonomous Systems,Level 8 Computer Science,L018,Room 101
M00109,Human-Computer Interaction,Level 8 Computer Science,L019,Room 102
M00110,Data Science and Big Data Analytics,Level 8 Computer Science,L020,Room 103
M00111,Software Engineering Practices and Principles,Level 8 Computer Science,L021,Room 104
M00112,Research Methods in Computer Science,Level 8 Computer Science,L022,Room 105
M00113,Cybersecurity Fundamentals,Master of Science in Cybersecurity,L023,Room 106
M00114,Network Security,Master of Science in Cybersecurity,L024,Room 107
M00115,Cryptography and Encryption ,Master of Science in Cybersecurity,L025,Room 108
M00116,Cyber Threat Intelligence,Master of Science in Cybersecurity,L026,Room 109
M00117,Incident Response and Forensics  ,Master of Science in Cybersecurity,L027,Room 110
M00118,Secure Software Development,Master of Science in Cybersecurity,L028,Room 101
M00119,Web and Application Security,Master of Science in Cybersecurity,L029,Room 102
M00120,Cloud Security  ,Master of Science in Cybersecurity,L030,Room 103
M00121,Mobile Security,Master of Science in Cybersecurity,L001,Room 104
M00122,Identity and Access Management,Master of Science in Cybersecurity,L002,Room 105
M00123,Risk Management and Compliance,Master of Science in Cybersecurity,L003,Room 106
M00124,Ethical Hacking and Penetration Testing  ,Master of Science in Cybersecurity,L004,Room 107
M00125,IoT Security,Master of Science in Cybersecurity,L005,Room 108
M00126,Security Governance and Policy,Master of Science in Cybersecurity,L006,Room 109
M00127,Capstone Project in Cybersecurity,Master of Science in Cybersecurity,L007,Room 110
