Module Name,Program Name,Enrolled,Lecturer,Room
Data Warehousing and Business Intelligence,level 8 Higher Diploma in Data Analytics for Business ,39,Prof. James Rodriguez,R105
Deep Learning for Data Analytics,level 8 Higher Diploma in Data Analytics for Business ,39,Dr. Olivia Martinez,R110
Optimization and Decision Analytics,level 8 Higher Diploma in Data Analytics for Business ,39,Prof. Benjamin Thomas,R101
Predictive Modeling and Machine Learning,level 8 Higher Diploma in Data Analytics for Business ,39,Dr. Jessica White,R102
Spatial Data Analysis,level 8 Higher Diploma in Data Analytics for Business ,39,Prof. Joshua Garcia,R109
Text Analytics and Natural Language Processing,level 8 Higher Diploma in Data Analytics for Business ,39,Dr. Rachel Evans,R108
Time Series Analysis and Forecasting  ,level 8 Higher Diploma in Data Analytics for Business ,39,Prof. Andrew Martinez,R107
Capstone Project in Cybersecurity,Master of Science in Cybersecurity,38,Dr. Samantha Taylor,R110
Cloud Security  ,Master of Science in Cybersecurity,38,Prof. William Baker,R103
Cryptography and Encryption ,Master of Science in Cybersecurity,38,Dr. Rebecca Wright,R108
Cyber Threat Intelligence,Master of Science in Cybersecurity,38,Prof. Alexander Hall,R109
Cybersecurity Fundamentals,Master of Science in Cybersecurity,38,Dr. Kimberly Johnson,R106
Ethical Hacking and Penetration Testing  ,Master of Science in Cybersecurity,38,Prof. Michael Brown,R107
Identity and Access Management,Master of Science in Cybersecurity,38,Prof. Daniel Smith,R105
Incident Response and Forensics  ,Master of Science in Cybersecurity,38,Dr. Michelle Young,R110
IoT Security,Master of Science in Cybersecurity,38,Dr. Jennifer Martinez,R108
Mobile Security,Master of Science in Cybersecurity,38,Dr. Emily Johnson,R104
Network Security,Master of Science in Cybersecurity,38,Prof. Nicholas Robinson,R107
Risk Management and Compliance,Master of Science in Cybersecurity,38,Dr. Sarah Adams,R106
Secure Software Development,Master of Science in Cybersecurity,38,Prof. Ryan Carter,R101
Security Governance and Policy,Master of Science in Cybersecurity,38,Prof. David Wilson,R109
Web and Application Security,Master of Science in Cybersecurity,38,Dr. Stephanie Scott,R102
Advanced Data Analytics Algorithms,MSc in Data Analytics,39,Dr. Stephanie Scott,R102
Big Data Technologies and Platforms,MSc in Data Analytics,39,Dr. Michelle Young,R110
Capstone Project in Data Analytics  ,MSc in Data Analytics,39,Prof. David Wilson,R109
Cloud Computing for Data Analytics,MSc in Data Analytics,39,Prof. Michael Brown,R107
Data Mining Techniques,MSc in Data Analytics,39,Prof. Alexander Hall,R109
Data Privacy and Ethics,MSc in Data Analytics,39,Dr. Sarah Adams,R106
Data Visualization and Exploration,MSc in Data Analytics,39,Prof. Ryan Carter,R101
Elective Modules,MSc in Data Analytics,39,Dr. Samantha Taylor,R110
Foundations of Data Analytics,MSc in Data Analytics,39,Dr. Kimberly Johnson,R106
Machine Learning and Predictive Modeling,MSc in Data Analytics,39,Dr. Rebecca Wright,R108
Optimization and Decision Analytics ,MSc in Data Analytics,39,Dr. Jennifer Martinez,R108
Statistical Methods for Data Analysis,MSc in Data Analytics,39,Prof. Nicholas Robinson,R107
Text Analytics and Natural Language Processing ,MSc in Data Analytics,39,Prof. William Baker,R103
Time Series Analysis and Forecasting ,MSc in Data Analytics,39,Dr. Emily Johnson,R104
Web Analytics and Social Media Analytics,MSc in Data Analytics,39,Prof. Daniel Smith,R105
